標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247142229,,台中一號(翠玉),葉蘿蔔,Leafy radish,Raphanus sativus  L. Daikon group,菜頭葉
4711247142298,SA9,台中一號(翠玉),葉蘿蔔,Leafy radish,Raphanus sativus  L. Daikon group,菜頭葉
4711247142304,SA4,,櫻桃蘿蔔,Cherry radish,Raphanus sativus  L. Radicula group,小根蘿蔔，二十日蘿蔔，小粒菜頭，大菜
4711247142311,,,櫻桃蘿蔔,Cherry radish,Raphanus sativus  L. Radicula group,小根蘿蔔，二十日蘿蔔，小粒菜頭，大菜
4711247142397,SA9,,櫻桃蘿蔔,Cherry radish,Raphanus sativus  L. Radicula group,小根蘿蔔，二十日蘿蔔，小粒菜頭，大菜
4711247153003,,統稱(其他),山葵,Wasabi， Japanese horseradish,Wasabia japonica  (Miquel) Matsumura,山萮菜，澤葵，哇沙蜜，澤山葵， 溪山葵
4711247153010,,統稱(其他),山葵,Wasabi， Japanese horseradish,Wasabia japonica  (Miquel) Matsumura,山萮菜，澤葵，哇沙蜜，澤山葵， 溪山葵
4711247153096,,統稱(其他),山葵,Wasabi， Japanese horseradish,Wasabia japonica  (Miquel) Matsumura,山萮菜，澤葵，哇沙蜜，澤山葵， 溪山葵
4711247154000,,地方種,冬瓜統稱(其他),Wax gourd,Benincasa hispida  (Thunb.) Cogn.,白瓜，東瓜，枕瓜
4711247154017,,地方種,冬瓜統稱(其他),Wax gourd,Benincasa hispida  (Thunb.) Cogn.,白瓜，東瓜，枕瓜
4711247204101,FH1,永樂,長扁蒲,Bottle gourd，white flowered gourd  ，Calabash gourd,Lagenaria siceraria  (Mol.) Standl.,牛腿蒲， 長瓜
4711247204118,,永樂,長扁蒲,Bottle gourd，white flowered gourd  ，Calabash gourd,Lagenaria siceraria  (Mol.) Standl.,牛腿蒲， 長瓜
4711247204194,,永樂,長扁蒲,Bottle gourd，white flowered gourd  ，Calabash gourd,Lagenaria siceraria  (Mol.) Standl.,牛腿蒲， 長瓜
